topology,method,threshold,missing_signature,witness_reference_id,witness_event_specification
A,FST-original,severe,Compounding moderate disturbance; Recovery lag and temporal overlap,REF-A-Q-2216,"[{""target"":""S1A"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":2}]"
A,FST-original,severe,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-A-Q-0156,"[{""target"":""S1A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""T2P"",""magnitude"":0.35,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":3}]"
A,FST-original,severe,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,REF-A-Q-1155,"[{""target"":""demand"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""T2P"",""magnitude"":0.35,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":3}]"
A,FST-original,severe,Concentrated dependency; Propagation-amplified cascade,REF-A-P-0838,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]"
A,FST-original,severe,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-A-Q-0839,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]"
A,FST-original,severe,Concentrated dependency; Recovery lag and temporal overlap,REF-A-Q-1811,"[{""target"":""S1A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]"
A,FST-original,severe,Hidden convergent dependency; Compounding moderate disturbance,REF-A-P-1054,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2}]"
A,FST-original,severe,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,REF-A-P-1030,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.15,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":2}]"
A,FST-original,severe,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-A-Q-0203,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.5,""start_week"":16,""duration_weeks"":3,""recovery_weeks"":3}]"
A,FST-original,severe,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,REF-A-Q-1059,"[{""target"":""demand"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":2},{""target"":""T2P"",""magnitude"":0.25,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]"
A,MI-FST,moderate,Compounding moderate disturbance,REF-A-P-2053,"[{""target"":""S1A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2}]"
A,MI-FST,moderate,Compounding moderate disturbance; Recovery lag and temporal overlap,REF-A-Q-2054,"[{""target"":""S1A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":2}]"
A,MI-FST,moderate,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,REF-A-Q-1110,"[{""target"":""demand"",""magnitude"":0.15,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""T2P"",""magnitude"":0.35,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]"
A,MI-FST,moderate,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-A-Q-0110,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]"
A,MI-FST,moderate,Concentrated dependency; Recovery lag and temporal overlap,REF-A-Q-1061,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.25,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":2}]"
A,MI-FST,moderate,Hidden convergent dependency; Compounding moderate disturbance,REF-A-P-1027,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.15,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2}]"
A,MI-FST,moderate,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-A-Q-0102,"[{""target"":""S1A"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""T2P"",""magnitude"":0.25,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":3}]"
A,MI-FST,moderate,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,REF-A-Q-1031,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.15,""start_week"":15,""duration_weeks"":3,""recovery_weeks"":2}]"
A,MI-FST,severe,Compounding moderate disturbance,REF-A-P-2134,"[{""target"":""S1A"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2}]"
A,MI-FST,severe,Compounding moderate disturbance; Recovery lag and temporal overlap,REF-A-Q-2216,"[{""target"":""S1A"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":2}]"
A,MI-FST,severe,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,REF-A-Q-1155,"[{""target"":""demand"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""T2P"",""magnitude"":0.35,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":3}]"
A,MI-FST,severe,Concentrated dependency; Recovery lag and temporal overlap,REF-A-Q-1811,"[{""target"":""S1A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]"
A,MI-FST,severe,Hidden convergent dependency; Compounding moderate disturbance,REF-A-P-1054,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2}]"
A,MI-FST,severe,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,REF-A-P-1030,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.15,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":2}]"
A,MI-FST,severe,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-A-Q-0203,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.5,""start_week"":16,""duration_weeks"":3,""recovery_weeks"":3}]"
A,MI-FST,severe,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,REF-A-Q-1059,"[{""target"":""demand"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":2},{""target"":""T2P"",""magnitude"":0.25,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]"
A,RST,moderate,Compounding moderate disturbance; Recovery lag and temporal overlap,REF-A-Q-2054,"[{""target"":""S1A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":2}]"
A,RST,moderate,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,REF-A-Q-1110,"[{""target"":""demand"",""magnitude"":0.15,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""T2P"",""magnitude"":0.35,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]"
A,RST,moderate,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-A-Q-0110,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]"
A,RST,moderate,Concentrated dependency; Recovery lag and temporal overlap,REF-A-Q-1061,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.25,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":2}]"
A,RST,moderate,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-A-Q-0102,"[{""target"":""S1A"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""T2P"",""magnitude"":0.25,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":3}]"
A,RST,moderate,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,REF-A-Q-1031,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.15,""start_week"":15,""duration_weeks"":3,""recovery_weeks"":2}]"
A,RST,severe,Compounding moderate disturbance; Recovery lag and temporal overlap,REF-A-Q-2216,"[{""target"":""S1A"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":2}]"
A,RST,severe,Concentrated dependency; Hidden convergent dependency,REF-A-P-1153,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2}]"
A,RST,severe,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,REF-A-Q-1155,"[{""target"":""demand"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""T2P"",""magnitude"":0.35,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":3}]"
A,RST,severe,Concentrated dependency; Recovery lag and temporal overlap,REF-A-Q-1811,"[{""target"":""S1A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]"
A,RST,severe,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-A-Q-0203,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.5,""start_week"":16,""duration_weeks"":3,""recovery_weeks"":3}]"
A,RST,severe,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,REF-A-Q-1059,"[{""target"":""demand"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":2},{""target"":""T2P"",""magnitude"":0.25,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]"
A,MI-C,moderate,Compounding moderate disturbance,REF-A-P-2053,"[{""target"":""S1A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2}]"
A,MI-C,moderate,Compounding moderate disturbance; Recovery lag and temporal overlap,REF-A-Q-2054,"[{""target"":""S1A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":2}]"
A,MI-C,moderate,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,REF-A-Q-1110,"[{""target"":""demand"",""magnitude"":0.15,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""T2P"",""magnitude"":0.35,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]"
A,MI-C,moderate,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-A-Q-0110,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]"
A,MI-C,moderate,Concentrated dependency; Recovery lag and temporal overlap,REF-A-Q-1061,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.25,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":2}]"
A,MI-C,moderate,Hidden convergent dependency; Compounding moderate disturbance,REF-A-P-1027,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.15,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2}]"
A,MI-C,moderate,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-A-Q-0102,"[{""target"":""S1A"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""T2P"",""magnitude"":0.25,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":3}]"
A,MI-C,moderate,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,REF-A-Q-1031,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.15,""start_week"":15,""duration_weeks"":3,""recovery_weeks"":2}]"
A,MI-C,severe,Compounding moderate disturbance,REF-A-P-2134,"[{""target"":""S1A"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2}]"
A,MI-C,severe,Compounding moderate disturbance; Recovery lag and temporal overlap,REF-A-Q-2216,"[{""target"":""S1A"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":2}]"
A,MI-C,severe,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,REF-A-Q-1155,"[{""target"":""demand"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""T2P"",""magnitude"":0.35,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":3}]"
A,MI-C,severe,Concentrated dependency; Recovery lag and temporal overlap,REF-A-Q-1811,"[{""target"":""S1A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]"
A,MI-C,severe,Hidden convergent dependency; Compounding moderate disturbance,REF-A-P-1054,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2}]"
A,MI-C,severe,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,REF-A-P-1030,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.15,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":2}]"
A,MI-C,severe,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-A-Q-0203,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.5,""start_week"":16,""duration_weeks"":3,""recovery_weeks"":3}]"
A,MI-C,severe,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,REF-A-Q-1059,"[{""target"":""demand"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":2},{""target"":""T2P"",""magnitude"":0.25,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]"
A,MI-M,moderate,Compounding moderate disturbance,REF-A-P-2053,"[{""target"":""S1A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2}]"
A,MI-M,moderate,Compounding moderate disturbance; Recovery lag and temporal overlap,REF-A-Q-2054,"[{""target"":""S1A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":2}]"
A,MI-M,moderate,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,REF-A-Q-1110,"[{""target"":""demand"",""magnitude"":0.15,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""T2P"",""magnitude"":0.35,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]"
A,MI-M,moderate,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-A-Q-0110,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]"
A,MI-M,moderate,Concentrated dependency; Recovery lag and temporal overlap,REF-A-Q-1061,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.25,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":2}]"
A,MI-M,moderate,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-A-Q-0102,"[{""target"":""S1A"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""T2P"",""magnitude"":0.25,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":3}]"
A,MI-M,moderate,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,REF-A-Q-1031,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.15,""start_week"":15,""duration_weeks"":3,""recovery_weeks"":2}]"
A,MI-M,severe,Compounding moderate disturbance,REF-A-P-2134,"[{""target"":""S1A"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2}]"
A,MI-M,severe,Compounding moderate disturbance; Recovery lag and temporal overlap,REF-A-Q-2216,"[{""target"":""S1A"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":2}]"
A,MI-M,severe,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,REF-A-Q-1155,"[{""target"":""demand"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""T2P"",""magnitude"":0.35,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":3}]"
A,MI-M,severe,Concentrated dependency; Recovery lag and temporal overlap,REF-A-Q-1811,"[{""target"":""S1A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]"
A,MI-M,severe,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-A-Q-0203,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.5,""start_week"":16,""duration_weeks"":3,""recovery_weeks"":3}]"
A,MI-M,severe,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,REF-A-Q-1059,"[{""target"":""demand"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":2},{""target"":""T2P"",""magnitude"":0.25,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]"
A,MI-MD,moderate,Compounding moderate disturbance,REF-A-P-2053,"[{""target"":""S1A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2}]"
A,MI-MD,moderate,Compounding moderate disturbance; Recovery lag and temporal overlap,REF-A-Q-2054,"[{""target"":""S1A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":2}]"
A,MI-MD,moderate,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,REF-A-Q-1110,"[{""target"":""demand"",""magnitude"":0.15,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""T2P"",""magnitude"":0.35,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]"
A,MI-MD,moderate,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-A-Q-0110,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]"
A,MI-MD,moderate,Concentrated dependency; Recovery lag and temporal overlap,REF-A-Q-1061,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.25,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":2}]"
A,MI-MD,moderate,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-A-Q-0102,"[{""target"":""S1A"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""T2P"",""magnitude"":0.25,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":3}]"
A,MI-MD,moderate,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,REF-A-Q-1031,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.15,""start_week"":15,""duration_weeks"":3,""recovery_weeks"":2}]"
A,MI-MD,severe,Compounding moderate disturbance,REF-A-P-2134,"[{""target"":""S1A"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2}]"
